tgl_publish,judul,link
"2019-10-13 04:43:00","Sekda Aceh: Bidan Desa Jangan Sia-siakan Amanah",https://infopublik.id/kategori/nusantara/379558/sekda-aceh-bidan-desa-jangan-sia-siakan-amanah
"2019-10-13 04:50:00","Wali Kota Terima Penyerahan Tugu Simpang Lima dari Bukopin",https://infopublik.id/kategori/nusantara/379556/wali-kota-terima-penyerahan-tugu-simpang-lima-dari-bukopin
"2019-10-13 04:51:00","Plt Gubernur Apresiasi Kerja Basarnas Banda Aceh",https://infopublik.id/kategori/nusantara/379559/plt-gubernur-apresiasi-kerja-basarnas-banda-aceh
"2019-10-13 04:57:00","Rombongan Wisatawan Malaysia Ikuti Zikir di Pendopo",https://infopublik.id/kategori/nusantara/379555/rombongan-wisatawan-malaysia-ikuti-zikir-di-pendopo
"2019-10-13 05:03:00","Aminullah Tampil Sebagai Pemateri pada Acara Rencana Aksi Nasional P4GN",https://infopublik.id/kategori/nusantara/379554/aminullah-tampil-sebagai-pemateri-pada-acara-rencana-aksi-nasional-p4gn
"2019-10-13 05:10:00","2020, Aminullah Tennis Open Jadi Turnamen Internasional",https://infopublik.id/kategori/nusantara/379551/2020-aminullah-tennis-open-jadi-turnamen-internasional
"2019-10-14 05:19:00","Dyah Erti Idawati: Waspadai Sejak Dini Pornografi dan TBC",https://infopublik.id/kategori/nusantara/379663/dyah-erti-idawati-waspadai-sejak-dini-pornografi-dan-tbc
"2019-10-14 05:24:00","BKMT Mitra Pemerintah Dalam Persoalan Sosial dan Agama",https://infopublik.id/kategori/nusantara/379662/bkmt-mitra-pemerintah-dalam-persoalan-sosial-dan-agama
"2019-10-15 04:32:00","Aminullah Minta Mahasiswa Akuntansi Ikuti Kemajuan Teknologi",https://infopublik.id/kategori/nusantara/379902/aminullah-minta-mahasiswa-akuntansi-ikuti-kemajuan-teknologi
"2019-10-15 04:36:00","Pemko Banda Aceh Gelar Bimtek Pelaksanaan Teknis Pengadaan Barang dan Jasa",https://infopublik.id/kategori/nusantara/379901/pemko-banda-aceh-gelar-bimtek-pelaksanaan-teknis-pengadaan-barang-dan-jasa
"2019-10-15 04:39:00","Wali Kota Dukung MoU Universitas Abulyatama-RSUD Meuraxa",https://infopublik.id/kategori/nusantara/379899/wali-kota-dukung-mou-universitas-abulyatama-rsud-meuraxa
"2019-10-15 04:46:00","Wali Kota: MoU BNNK Banda Aceh dan Lapas Perkuat Pencegahan Peredaran Narkoba",https://infopublik.id/kategori/nusantara/379898/wali-kota-mou-bnnk-banda-aceh-dan-lapas-perkuat-pencegahan-peredaran-narkoba
"2019-10-15 04:58:00","Program BEREH Perbaiki Layanan Publik di Gayo Lues",https://infopublik.id/kategori/nusantara/379897/program-bereh-perbaiki-layanan-publik-di-gayo-lues
"2019-10-17 04:06:00","Puslatbang KHAN LAN Gelar Pameran Inovasi Pemimpin Perubahan",https://infopublik.id/kategori/nusantara/380485/puslatbang-khan-lan-gelar-pameran-inovasi-pemimpin-perubahan
"2019-10-17 04:09:00","Pemkab Rehab 124 Rumah Fakir Miskin di Nagan Raya",https://infopublik.id/kategori/nusantara/380484/pemkab-rehab-124-rumah-fakir-miskin-di-nagan-raya
"2019-10-17 04:13:00","Baitul Mal Aceh Bantu 26 KK Korban Kebakaran Simeulue",https://infopublik.id/kategori/nusantara/380483/baitul-mal-aceh-bantu-26-kk-korban-kebakaran-simeulue
"2019-10-17 04:30:00","Aceh Miliki Hak Otonom Pelaksanaan Syariat Islam",https://infopublik.id/kategori/nusantara/380465/aceh-miliki-hak-otonom-pelaksanaan-syariat-islam
"2019-10-17 04:31:00","Kemenag Aceh Gelar Pembinaan Qari dan Hafiz",https://infopublik.id/kategori/nusantara/380482/kemenag-aceh-gelar-pembinaan-qari-dan-hafiz
"2019-10-17 04:36:00","UIN Ar-Raniry Gelar Seminar Nasional Islam dan Pembangunan Ekonomi",https://infopublik.id/kategori/nusantara/380480/uin-ar-raniry-gelar-seminar-nasional-islam-dan-pembangunan-ekonomi
"2019-10-17 04:39:00","Direktur DJPPR Kemenkeu Berikan Kuliah Umum di Unsyiah",https://infopublik.id/kategori/nusantara/380479/direktur-djppr-kemenkeu-berikan-kuliah-umum-di-unsyiah
"2019-10-17 04:44:00","Kesehatan yang Baik Untuk SDM Unggul",https://infopublik.id/kategori/nusantara/380477/kesehatan-yang-baik-untuk-sdm-unggul
"2019-10-17 05:53:00","Mahasiswa Teknik Geologi Unsyiah Gelar Olimpiade Kebumian",https://infopublik.id/kategori/nusantara/380478/mahasiswa-teknik-geologi-unsyiah-gelar-olimpiade-kebumian
"2019-10-17 08:02:00","Wali Kota Canangkan Lambhuk dan Ulee Kareng Sebagai Gampong dan Kecamatan Layak Anak",https://infopublik.id/kategori/nusantara/380471/wali-kota-canangkan-lambhuk-dan-ulee-kareng-sebagai-gampong-dan-kecamatan-layak-anak
"2019-10-17 08:03:00","Plt Gubernur Undang Pengelola Wisata ASEAN Datangkan Kapal Pesiar ke Sabang",https://infopublik.id/kategori/nusantara/380474/plt-gubernur-undang-pengelola-wisata-asean-datangkan-kapal-pesiar-ke-sabang
"2019-10-17 08:04:00","Pola Asuh Yang Baik Kunci Utama Pencegahan Stunting",https://infopublik.id/kategori/nusantara/380475/pola-asuh-yang-baik-kunci-utama-pencegahan-stunting
"2019-10-17 08:27:00","Sekda Imbau Pemerintah Kabupaten Perhatikan Polindes Terpencil",https://infopublik.id/kategori/nusantara/380476/sekda-imbau-pemerintah-kabupaten-perhatikan-polindes-terpencil
"2019-10-17 08:31:00","Dyah Erti Berikan Penyuluhan Bagi Kader PKK di Nisam",https://infopublik.id/kategori/nusantara/380473/dyah-erti-berikan-penyuluhan-bagi-kader-pkk-di-nisam
"2019-10-17 08:37:00","Sekda Aceh: Tenaga Kesehatan Harus Aktif Datangi Masyarakat",https://infopublik.id/kategori/nusantara/380472/sekda-aceh-tenaga-kesehatan-harus-aktif-datangi-masyarakat
"2019-10-17 08:39:00","Wali Kota Minta Persiraja Kokoh di Puncak Klasemen",https://infopublik.id/kategori/nusantara/380470/wali-kota-minta-persiraja-kokoh-di-puncak-klasemen
"2019-10-17 08:44:00","Cek Zainal Ajak Warga Jaga Kesehatan Jantung Dengan Pola Hidup Sehat",https://infopublik.id/kategori/nusantara/380469/cek-zainal-ajak-warga-jaga-kesehatan-jantung-dengan-pola-hidup-sehat
"2019-10-17 08:47:00","Aminullah Kandidat Indonesia Visionary Leader 2019",https://infopublik.id/kategori/nusantara/380468/aminullah-kandidat-indonesia-visionary-leader-2019
"2019-10-21 04:14:00","Tari Didong dan Rapai Pase Hentak Plaza Balai Kota Bogor",https://infopublik.id/kategori/nusantara/381147/tari-didong-dan-rapai-pase-hentak-plaza-balai-kota-bogor
"2019-10-21 04:20:00","Aceh Jadi World’s Best Halal Cultural Tourism Destination",https://infopublik.id/kategori/nusantara/381146/aceh-jadi-world-s-best-halal-cultural-tourism-destination
"2019-10-21 04:24:00","Aminullah Harap Para Guru Bangun Karakter Entrepreneur Pada Murid",https://infopublik.id/kategori/nusantara/381145/aminullah-harap-para-guru-bangun-karakter-entrepreneur-pada-murid
"2019-10-21 04:30:00","Aminullah Ajak Mahasiswa Tak Gantungkan Cita-cita Jadi PNS",https://infopublik.id/kategori/nusantara/381144/aminullah-ajak-mahasiswa-tak-gantungkan-cita-cita-jadi-pns
"2019-10-21 10:00:00","IJK Manfaatkan CFD Jadi Ajang Promosi",https://infopublik.id/kategori/nusantara/381196/ijk-manfaatkan-cfd-jadi-ajang-promosi
"2019-10-21 10:06:00","Wali Kota Banda Aceh : Keuchik Yasin Rangkul Seluruh Elemen Masyarakat",https://infopublik.id/kategori/nusantara/381197/wali-kota-banda-aceh-keuchik-yasin-rangkul-seluruh-elemen-masyarakat
"2019-10-21 10:08:00","Sekda Aceh: Optimalkan Manfaat Dana Desa Bagi Rakyat",https://infopublik.id/kategori/nusantara/381189/sekda-aceh-optimalkan-manfaat-dana-desa-bagi-rakyat
"2019-10-21 10:15:00","Ketua DWP Setda Aceh Ikut Deklarasi Germas Simeulue",https://infopublik.id/kategori/nusantara/381194/ketua-dwp-setda-aceh-ikut-deklarasi-germas-simeulue
"2019-10-21 10:17:00","Aminullah Terima Penghargaan Artline Award dari Jepang",https://infopublik.id/kategori/nusantara/381195/aminullah-terima-penghargaan-artline-award-dari-jepang
"2019-10-21 10:29:00","Cek Zainal: Aroma Kopi Mampu Menjadi Magnet bagi Wisatawan",https://infopublik.id/kategori/nusantara/381198/cek-zainal-aroma-kopi-mampu-menjadi-magnet-bagi-wisatawan
"2019-10-24 04:51:00","Penanganan Kawasan Kumuh Banda Aceh Rampung Tahun Ini",https://infopublik.id/kategori/nusantara/381997/penanganan-kawasan-kumuh-banda-aceh-rampung-tahun-ini
"2019-10-24 04:56:00","Banda Aceh Raih Penghargaan Maturitas SPIP dari BPKP",https://infopublik.id/kategori/nusantara/381996/banda-aceh-raih-penghargaan-maturitas-spip-dari-bpkp
"2019-10-24 05:01:00","Wali Kota Minta Delegasi ICOLGIS Promosikan Wisata Banda Aceh",https://infopublik.id/kategori/nusantara/381995/wali-kota-minta-delegasi-icolgis-promosikan-wisata-banda-aceh
"2019-10-24 05:07:00","Aminullah Minta Pengusaha UMKM Manfaatkan KUR",https://infopublik.id/kategori/nusantara/381994/aminullah-minta-pengusaha-umkm-manfaatkan-kur
"2019-10-24 15:44:00","Kemkominfo dan Pemprov Kepulauan Bangka Belitung Gelar SAIK 2019",https://infopublik.id/kategori/nusantara/382152/kemkominfo-dan-pemprov-kepulauan-bangka-belitung-gelar-saik-2019
"2019-10-24 15:49:00","Santri Aceh Perkuat Syariat Islam dan Merawat Perdamaian",https://infopublik.id/kategori/nusantara/382154/santri-aceh-perkuat-syariat-islam-dan-merawat-perdamaian
"2019-10-25 11:02:00","Plt Gubernur Aceh Teken MoU Dana CSR Perusahaan",https://infopublik.id/kategori/nusantara/382328/plt-gubernur-aceh-teken-mou-dana-csr-perusahaan
